"Tavita Pritchard
"Roman Pritt
"Mike Purcell
"Gabe Reid
"Jason Rivers
"Pio Sagapolutele
"Blaine Saipaia
"Joe Salave'a
"Dan Saleaumua
"Lauvale Sape
"Jesse Sapolu
"Don Sasa
"Brashton Satele
"Samson Satele
"Brian Schwenke
"Kona Schwenke
"Ian Seau
"Junior Seau
"Mike Sellers
"Isaac Seumalo
"Danny Shelton
"Junior Siavii
"Sealver Siliga
"Mana Silva
"JuJu Smith-Schuster
"Brian Soi
"Paul Soliai
"Vic So'oto
"Xavier Su'a-Filo
"Nicky Sualua
"Frank Summers
"Alameda Ta'amu
"Ed Taʻamu
"Jordan Ta'amu
"Nu'u Tafisi
"Tua Tagovailoa
"Maa Tanuvasa
"Lofa Tatupu
"Mosi Tatupu
"Vai Taua
"Will Taʻufoʻou
"Junior Tautalatasi
"Terry Tautolo
"Sae Tautu
"J.R. Tavai
"Daniel Te'o-Nesheim
"Manti Te'o
"Martin Tevaseu
"Jack Thompson
"D.J. Tialavea
"John Timu
"Pisa Tinoisamoa
"Albert Toeaina
"Matt Toeaina
"Pago Togafau
"Levine Toilolo
"Mao Tosi
"Charles Tuaau
"Esera Tuaolo
"Natu Tuatagaloa
"Manu Tuiasosopo
"Marques Tuiasosopo
"Lavasier Tuinei
"Mark Tuinei
"Van Tuinei
"Joe Tuipala
"Willie Tuitama
"Maugaula Tuitele
"Mike Ulufale
"Morris Unutoa
"Tuufuli Uperesa
"Destiny Vaeao
"Jeremiah Valoaga
"Lenny Vandermade
"Larry Warford
"Albert Wilson
"Benny Agbayani
"Chris Aguila
"Mike Fetters
"Jacob Hannemann
"Isiah Kiner-Falefa
"Sean Manaea
"Tony Solaita
"Matt Tuiasosopo
"Rashaun Broadus
"Shea Ili
"James Johnson
"Bubba Lau'ese
"Naomi Mulitauaopele
"Dion Prewster
"Kalani Purcell
"Charmian Purcell-Mellars
"Natalie Purcell-Taylor
"Wally Rank
"Peyton Siva
"Mekeli Wesley
"Wendell White
"Monty Betham Jr
"Monty Betham Sr
"Richard Betham
"Herman Ene-Purcell
"Emerio Fainuulua
"Lio Falaniko
"Sililo Figota
"Polataivao Fosi
"Warren Fuavailili
"Bob Gasio
"Alex Leapai
"David Letele
"Togasilimai Letoa
"Patrick Mailata
"Maselino Masoe
"Mika Masoe
"Alrie Meleisea
"Birthony Katarina Nansen (Baby Nansen)
"Jai Opetaia
"John Parker
"Joseph Parker
"Tuna Scanlan
"Ray Sefo
"Vaitele Soi
"Jason Suttie
"Apollo Sweet
"Lawrence Tauasa
"Satupaitea Farani Tavui
"James Senio Peau (Jimmy Thunder)
"David Tua
"Maselino Tuifao
"Kailin Curran
"Genah Fabian
"Andre Fili
"Kendall Grove
"Max Holloway
"Mark Hunt
"Lolohea Mahe
"Raquel Pa'aluhi
"Tyson Pedro
"Eric Pele
"Siala-Mou Siliga (Mighty Mo)
"Tai Tuivasa
"Falaniko Vitale
"Robert Whittaker
"Sheryl Clarke-Scanlan
"Rita Fatialofa-Paloto
"Paula Griffin
"April Ieremia
"Bernice Mene
"Julianna Naoupu
"Rachel Rasmussen
"Grace Rasmussen-Kara
"Frances Solia
"Lorna Suafoa
"Maria Tutaia-Folau
"Linda Vagana
"Joseph Afamasaga (Samoan Joe)
"Afa Anoaʻi (Wild Samoans)
"Afa Anoaʻi Jr. (Manu)
"Leati Joseph Anoa'i (Roman Reigns)
"Lloyd Anoaʻi (L.A. Smooth)
"Matthew Anoa'i (Rosey)
"Rodney Anoa'i (Yokozuna)
"Samula Anoa'i (Samu)
"Sika Anoaʻi (Wild Samoans)
"Cheree Crowley (Dakota Kai, Evie)
"Emily Dole (Mountain Fiji)
"Ulualoaiga Onosai Tauolo Emelio (Cocoa Samoa)
"Savelina Fanene (Nia Jax)
"Edward Fatu (Umaga)
"Jonathan Fatu (The Usos)
"Joshua Fatu (The Usos)
"Sam Fatu (The Tonga Kid)
"Solofa Fatu (Rikishi)
"Dwayne Johnson (The Rock)
"Danielle Kamela (Vanessa Borne)
"Neff Alfred Maiava (Prince Ulu Maiava)
"Fanene Leifi Pita Maivia (Peter Maivia)
"Ofelia Fuataga Maivia (Lia Maivia, Leah Maivia)
"Sean Maluta (Samoan Dragon)
"Nuufolau Joel Seanoa (Samoa Joe)
"Sonny Siaki (Cocky Siaki, Hawaiian GQ)
"James Snuka (Deuce, Sim Snuka)
"Sarona Snuka (Tamina Snuka)
"Papaliitele Max Amata Taogaga (Siva Afi, Sivi Afi)
"Brad Abbey
"Failaga Afamasaga
"Jack Afamasaga
"Viliamu Afatia
"Vavao Afemai
"Bunty Afoa
"Fa'ausu Afoa
"John Afoa
"Fred Ah Kuoi
"John Ah Kuoi
"Isaak Ah Mau
"Leeson Ah Mau
"Cruze Ah-Nau
"Patrick Ah Van
"Nigel Ah Wong
"Rodney Ah You
"Pita Ahki
"Andrew Aiolupo
"Bundee Aki
"Allan Alaalatoa
"Harlan Alaalatoa
"Michael Alaalatoa
"Vili Alaalatoa
"Solomon Alaimalo
"Brian Alainu'uese
"AJ Alatimu
"Robbie Ale
"Paul Alo-Emile
"Alofa Alofa
"Josh Aloiai
"Albert Anae
"Sosene Anesi
"Polo Asi
"John Asiata
"Nelson Asofa-Solomona
"Roy Asotasi
"Ben Atiga
"Uini Atonio
"Fotunuupule Auelua
"Asafo Aumua
"Fa'atoina Autagavaia
"Kirisome Auva'a
"Ole Avei
"Graeme Bachop
"Stephen Bachop
"Andreas Bauer
"Andrew Bentley
"Kane Bentley
"Peter Betham
"Mark Birtwistle
"Andrew Blowers
"Brandon Boor
"Donald Brighouse
"Fa'amanu Brown
"Olo Brown
"Willie Brown
"Frank Bunce
"George Carmont
"Michael Chee Kam
"Erin Clark
"Caleb Clarke
"Eroni Clarke
"John Clarke
"Jerry Collins
"Garrick Cowley
"Pele Cowley
"Christian Crichton
"Loki Crichton
"Christian Cullen
"Oscar Danielson
"Matt Duffie
"Elia Elia
"Mark Elia
"Alex Elisala
"Ere Enari
"Kane Epati
"Herman Ese'ese
"Tiffany Fa’ae’e
"Henry Fa'afili
"Sef Fa'agase
"David Fa'alogo
"Tupo Fa'amasino
"Fiao'o Fa'amausili
"Poasa Faamausili
"Piula Faʻasalele
"Maurie Fa'asavalu
"So'otala Fa'aso'o
"Lome Fa'atau
"Leo Faaeteete
"George Fai
"Sonny Fai
"TJ Faiane
"Kalifa Faifai Loa
"Esene Faimalo
"Raymond Faitala-Mariner
"David Faiumu
"Kepi Faiva'ai
